FIPSSTCO,ct00,STFID,HH_16,TotalPop16,Emp_16,Cons_16,Manu_16,TCU_16,Whol_16,Retail_16,FIRE_16,Serv_16,Govt_16,HH_20,TotalPop20,Emp_20,Cons_20,Manu_20,TCU_20,Whol_20,Retail_20,FIRE_20,Serv_20,Govt_20,HH_24,TotalPop24,Emp_24,Cons_24,Manu_24,TCU_24,Whol_24,Retail_24,FIRE_24,Serv_24,Govt_24,HH_25,TotalPop25,Emp_25,Cons_25,Manu_25,TCU_25,Whol_25,Retail_25,FIRE_25,Serv_25,Govt_25,HH_30,TotalPop30,Emp_30,Cons_30,Manu_30,TCU_30,Whol_30,Retail_30,FIRE_30,Serv_30,Govt_30,HH_40,TotalPop40,Emp_40,Cons_40,Manu_40,TCU_40,Whol_40,Retail_40,FIRE_40,Serv_40,Govt_40,GlobalID,last_edite,Shape_Leng,Shape_Area
13063,404.07,13063040407,1519,3946,3247,299,285,510,640,388,8,1061,56,1542,3987,3440,301,285,514,651,390,9,1113,177,1594,4101,3574,302,286,518,626,392,11,1161,278,1603,4116,3606,302,286,519,619,392,11,1175,302,1646,4192,3788,303,286,524,589,392,11,1248,435,1772,4431,4201,305,288,533,530,394,11,1443,697,,,55427.6150296584,96491246.8256411
13063,404.08,13063040408,2659,9852,2537,11,5,41,0,646,44,1581,209,2742,10015,2602,12,5,41,0,646,44,1632,222,2826,10064,2666,12,5,41,0,650,46,1678,234,2841,10076,2681,12,5,41,0,650,46,1690,237,2907,10147,2759,12,5,41,0,650,47,1753,251,3022,10211,2924,12,5,41,0,653,48,1885,280,,,37441.2534775257,71846822.914556
13063,404.09,13063040409,2045,6207,656,14,0,23,0,36,19,564,0,2052,6197,720,16,0,24,0,38,21,621,0,2069,6203,779,17,0,26,0,41,24,671,0,2071,6202,792,17,0,26,0,41,24,684,0,2076,6188,870,17,0,27,0,42,27,757,0,2156,6328,1039,19,0,31,0,49,33,907,0,,,26578.5362560334,40358782.3391644
13063,404.1,13063040410,2417,7201,6821,117,461,3293,218,803,40,951,938,2480,7337,7483,120,463,3444,218,825,47,1062,1304,2575,7533,8004,122,465,3551,212,843,54,1154,1603,2594,7574,8134,122,465,3584,210,846,55,1177,1675,2688,7798,8891,124,475,3782,202,880,61,1297,2070,2773,7912,10401,128,513,4144,182,977,77,1522,2858,,,80643.7353739298,246021606.789751
13063,404.11,13063040411,4324,12599,525,42,0,22,1,196,35,212,17,4418,12782,576,48,0,27,1,204,40,234,22,4523,12998,626,52,0,32,1,209,45,260,27,4547,13041,637,53,0,33,1,210,46,266,28,4652,13264,702,56,0,40,1,222,52,298,33,4689,13159,853,65,0,54,1,252,67,371,43,,,75959.1299083288,196690803.788727
13063,404.12,13063040412,2992,7793,3767,77,403,157,199,1817,139,946,29,3020,7794,3796,78,403,157,197,1819,140,967,35,3086,7888,3823,78,404,158,191,1821,142,990,39,3097,7899,3827,78,404,158,189,1821,142,995,40,3152,7976,3854,78,404,157,181,1822,142,1025,45,3367,8319,3933,78,405,157,162,1829,142,1104,56,,,40832.8522980351,81690546.8850684
13063,404.13,13063040413,2481,7234,122,0,1,8,0,43,0,70,0,2526,7305,133,0,1,8,0,44,0,80,0,2539,7286,148,0,1,9,0,46,0,92,0,2541,7280,150,0,1,9,0,46,0,94,0,2549,7261,169,0,1,9,0,47,0,112,0,2676,7484,221,0,1,9,0,53,0,158,0,,,36779.6061127278,60580963.9007372
13063,405.03,13063040503,3521,10305,5811,19,2,19,320,1105,82,4211,53,3541,10320,6074,20,2,19,318,1110,83,4459,63,3623,10454,6293,20,2,19,308,1113,84,4675,72,3643,10493,6352,20,2,19,306,1114,84,4733,74,3734,10704,6714,20,2,18,294,1122,84,5089,85,3927,11086,7661,20,2,18,265,1138,85,6026,107,,,43385.1451994957,85135653.067923
13063,405.06,13063040506,3365,9700,1789,3,8,20,8,1095,60,595,0,3467,9947,1805,3,8,20,8,1096,61,609,0,3559,10151,1827,3,8,20,8,1099,63,626,0,3574,10182,1831,3,8,20,8,1099,63,630,0,3657,10400,1850,3,8,20,8,1100,63,648,0,3754,10536,1908,3,8,20,8,1106,64,699,0,,,39728.2270234363,84288307.1627612
13063,405.09,13063040509,1874,5124,132,1,0,2,0,13,0,116,0,2065,5622,132,1,0,2,0,13,0,116,0,2126,5774,133,1,0,2,0,13,0,117,0,2141,5809,133,1,0,2,0,13,0,117,0,2205,5976,133,1,0,2,0,13,0,117,0,2306,6184,135,1,0,2,0,13,0,119,0,,,34002.9461463061,54961161.4135772
13063,405.1,13063040510,1465,4047,199,2,0,17,3,16,21,114,26,1485,4071,199,2,0,17,3,16,21,114,26,1527,4169,201,2,0,17,3,17,21,114,27,1534,4179,201,2,0,17,3,17,21,114,27,1567,4252,201,2,0,17,3,17,21,114,27,1586,4233,201,2,0,17,3,17,21,114,27,,,35323.5595365331,32942463.1730359
13063,405.11,13063040511,4286,8452,985,8,11,416,63,240,31,216,0,4513,8841,1008,9,11,423,63,244,33,225,0,4685,9129,1027,9,11,429,60,248,36,234,0,4728,9196,1031,9,11,431,59,248,36,237,0,4934,9539,1051,9,11,440,55,253,37,246,0,5319,10144,1097,9,12,457,45,266,41,267,0,,,28566.4106284621,40386016.9335946
13063,405.12,13063040512,2113,5621,1076,0,7,27,0,473,106,286,177,2161,5717,1118,0,7,27,0,473,107,296,208,2218,5834,1156,0,7,27,0,474,108,306,234,2231,5859,1164,0,7,27,0,474,108,308,240,2290,5985,1211,0,7,27,0,474,108,321,274,2405,6215,1312,0,7,27,0,475,108,354,341,,,30932.2658657143,48351762.0693725
13063,405.13,13063040513,1992,5968,172,0,0,9,6,76,24,57,0,2133,6383,180,0,0,9,6,78,25,62,0,2213,6584,192,0,0,9,6,81,27,68,1,2231,6628,193,0,0,9,6,81,27,69,1,2320,6886,201,0,0,9,6,82,29,74,1,2401,7062,226,0,0,9,6,88,32,90,1,,,42016.4945605176,73979933.8746603
