GEOID10,NAME10,PLNG_REGIO,created_us,created_da,last_edite,last_edit2,Percent_Fo,Foreign_Bo,Percent_U_,U_S__Nativ,GlobalID,Pop_Chg_pe,Pct_ForBor,ForeignBor,Pct_ForBo2,ForBorn_Na,Pct_US_Nat,US_Native_,Pct_USnati,USnative_B,Pct_USnat2,USnative_2,Shape_Leng,Shape_Area
13217100902,1009.02,ARC 20,,,SDE,2015/05/21 16:55:07,6.9,390,93.1,5290,,287.8,67.4,263,32.6,127,34.8,1975,56.6,3213,91.3,5188,53579.827338573,138876455.072916
13217100901,1009.01,ARC 20,,,SDE,2015/05/21 16:55:07,3.8,373,96.2,9405,,205.7,35.9,134,64.1,239,35.3,3455,60.4,5905,95.7,9360,140980.989559741,684675748.531046
13217100201,1002.01,ARC 20,,,SDE,2015/05/21 16:55:07,2.6,162,97.4,5998,,31.4,59.9,97,40.1,65,31,1907,66.2,4077,97.1,5984,207478.594619474,1503163639.47166
13217100501,1005.01,ARC 20,,,SDE,2015/05/21 16:55:07,9.2,1392,90.8,13737,,1071.6,38.3,533,61.7,859,41.7,6302,48.4,7322,90.1,13624,61205.7217899408,205915790.361542
13217100800,1008,ARC 20,,,SDE,2015/05/21 16:55:07,2.4,232,97.6,9400,,98.4,49.1,114,50.9,118,28.9,2784,67.6,6513,96.5,9297,208741.985477191,1412011072.98368
13217100202,1002.02,ARC 20,,,SDE,2015/05/21 16:55:07,1.3,65,98.7,4851,,32.7,44.6,29,55.4,36,24.4,1201,74.1,3641,98.5,4842,163270.560881812,1089690454.51313
13217100700,1007,ARC 20,,,SDE,2015/05/21 16:55:07,4.5,253,95.5,5376,,146.8,70,177,30,76,31.7,1787,63.8,3589,95.5,5376,60764.7160952325,165203199.787259
13217100600,1006,ARC 20,,,SDE,2015/05/21 16:55:07,5.7,343,94.3,5654,,190.1,60.9,209,39.1,134,28.3,1697,64.1,3846,92.4,5543,95335.4026172713,319966760.725387
13217100502,1005.02,ARC 20,,,SDE,2015/05/21 16:55:07,11,847,89,6883,,434.9,38.8,329,61.2,518,31.4,2424,55.7,4306,87.1,6730,85294.4150667823,242602447.296927
13217100400,1004,ARC 20,,,SDE,2015/05/21 16:55:07,6.9,257,93.1,3455,,34.8,66.1,170,33.9,87,25.9,961,67.2,2494,93.1,3455,57105.6410082178,117278411.905151
13217100300,1003,ARC 20,,,SDE,2015/05/21 16:55:07,5.7,519,94.3,8516,,190,59,306,41,213,27.4,2472,64.3,5813,91.7,8285,129832.342984355,375336724.150041
13217100100,1001,ARC 20,,,SDE,2015/05/21 16:55:07,5.2,591,94.8,10754,,77,32.3,191,67.7,400,24.9,2827,69.8,7923,94.8,10750,189778.996598842,1341585772.55046
13135050322,503.22,ARC 10,,,SDE,2015/05/21 16:55:07,7.3,326,92.7,4112,,-170.5,30.7,100,69.3,226,53.4,2372,38.2,1694,91.6,4066,34366.5502142319,55967977.2698978
13135050318,503.18,ARC 10,,,SDE,2015/05/21 16:55:07,33.9,850,66.1,1658,,-76.7,82.1,698,17.9,152,36.3,910,29.8,748,66.1,1658,14847.0225078381,9223749.20263708
13135050320,503.20,ARC 10,,,SDE,2015/05/21 16:55:07,50.3,2690,49.7,2661,,165.7,83,2232,17,458,21.1,1130,27.2,1454,48.3,2584,28433.3913328046,40131235.6630664
13135050317,503.17,ARC 10,,,SDE,2015/05/21 16:55:07,41.3,1470,58.7,2091,,-1340,90,1323,10,147,29.6,1055,25.8,917,55.4,1972,20860.6684239271,14014033.6622695
13135050220,502.20,ARC 10,,,SDE,2015/05/21 16:55:07,27.2,1741,72.8,4656,,573.3,67.8,1181,32.2,560,42.4,2713,28.8,1840,71.2,4553,40395.4163652897,49179345.2384061
13135050214,502.14,ARC 10,,,SDE,2015/05/21 16:55:07,25.8,2099,74.2,6049,,212.9,46.5,977,53.5,1122,37.2,3030,36.7,2989,73.9,6019,65384.2234141553,117341305.190223
13135050218,502.18,ARC 10,,,SDE,2015/05/21 16:55:07,31.3,1466,68.7,3217,,81.5,83.6,1226,16.4,240,35.9,1679,30.8,1441,66.6,3120,25547.1636103684,36733594.8143167
13135050209,502.09,ARC 10,,,SDE,2015/05/21 16:55:07,33.6,3156,66.4,6235,,699.6,70.8,2236,29.2,920,34.3,3223,27.8,2610,62.1,5833,47575.3699553051,77518191.992059
13135050217,502.17,ARC 10,,,SDE,2015/05/21 16:55:07,24.1,2226,75.9,6997,,1133.6,49,1091,51,1135,43.2,3984,30.3,2791,73.5,6775,49636.5240347105,139563177.075384
13135050529,505.29,ARC 10,,,SDE,2015/05/21 16:55:07,25.4,983,74.6,2888,,86.7,41.5,408,58.5,575,46.2,1789,27.2,1053,73.4,2842,37393.6497172808,58835710.7418143
13135050530,505.30,ARC 10,,,SDE,2015/05/21 16:55:07,21.2,1296,78.8,4804,,892.1,36.7,475,63.3,821,43.5,2652,31.5,1924,75,4576,28062.701561499,38380698.041971
13135050538,505.38,ARC 10,,,SDE,2015/05/21 16:55:07,30.7,2559,69.3,5789,,163.5,41.1,1053,58.9,1506,42.2,3524,22.5,1876,64.7,5400,33034.2591361932,55027293.6547299
13135050525,505.25,ARC 10,,,SDE,2015/05/21 16:55:07,24.5,1959,75.5,6052,,250.3,48.1,942,51.9,1017,41.2,3298,33.1,2653,74.3,5951,56030.4414630913,95976727.1670502
